time,MF_LF,T_CORI,MF_CORI,RHO_CORI,P_DP
"12:19:09:45,3",0.0,23.466083526611328,-7.1526618003845215,496.4089660644531,5.100582122802734
"12:19:09:45,4",0.0,23.47515296936035,-7.152781963348389,496.38946533203125,5.099198341369629
"12:19:09:45,5",0.0,23.47288703918457,-7.153212547302246,496.42193603515625,5.099051475524902
"12:19:09:45,6",0.0,23.47061538696289,-7.155128002166748,496.5714416503906,5.099003791809082
"12:19:09:45,7",0.0,23.468351364135742,-7.153833866119385,496.53082275390625,5.100037574768066
"12:19:09:45,8",0.0,23.47061538696289,-7.152975559234619,496.47882080078125,5.099648475646973
"12:19:09:45,9",0.0,23.481956481933594,-7.150819301605225,496.6153259277344,5.099809646606445
"12:19:09:45,0",0.0,23.47515296936035,-7.149160861968994,496.5665588378906,5.100985527038574
"12:19:09:45,1",0.0,23.47061538696289,-7.150840759277344,496.53082275390625,5.102256774902344
"12:19:09:45,2",0.0,23.47061538696289,-7.152034282684326,496.3861999511719,5.102080345153809
"12:19:09:45,3",0.0,23.481956481933594,-7.150735855102539,496.423583984375,5.103974342346191
"12:19:09:45,4",0.0,23.477418899536133,-7.151399612426758,496.4203186035156,5.098194122314453
"12:19:09:45,5",0.0,23.477418899536133,-7.151772975921631,496.3650817871094,5.093847751617432
"12:19:09:45,6",0.0,23.47288703918457,-7.152297496795654,496.4755859375,5.0919976234436035
"12:19:09:45,7",0.0,23.47515296936035,-7.149703025817871,496.37158203125,5.085815906524658
"12:19:09:45,9",0.0,23.463815689086914,-7.147788047790527,496.5422058105469,5.080997467041016
"12:19:09:45,0",0.0,23.47061538696289,-7.147649765014648,496.5389404296875,5.074120998382568
"12:19:09:45,1",0.0,23.481956481933594,-7.148637294769287,496.4869384765625,5.060919761657715
"12:19:09:45,2",0.0,23.47061538696289,-7.149773120880127,496.58282470703125,5.05579137802124
"12:19:09:45,3",0.0,23.47288703918457,-7.150872707366943,496.3975830078125,13.097790718078613
"12:19:09:45,4",0.0,23.47288703918457,-7.152010917663574,496.5454406738281,19.674890518188477
"12:19:09:45,5",0.0,23.47515296936035,-7.151370048522949,496.329345703125,27.27510643005371
"12:19:09:45,6",0.0,23.47288703918457,-7.082473278045654,491.94207763671875,36.26370620727539
"12:19:09:45,7",0.0,23.477418899536133,-6.830677032470703,474.28302001953125,42.85618209838867
"12:19:09:45,8",0.0,23.477418899536133,-4.363976001739502,426.10198974609375,51.40971374511719
"12:19:09:45,9",0.0,23.481956481933594,-0.44389110803604126,324.67706298828125,59.238224029541016
"12:19:09:45,0",0.0,23.49782943725586,2.699721336364746,184.8263702392578,66.49937438964844
"12:19:09:45,1",0.02718358300626278,23.5205078125,3.084995985031128,61.073604583740234,73.33618927001953
"12:19:09:45,2",0.1312273144721985,23.534120559692383,2.522906541824341,27.39691925048828,78.819580078125
"12:19:09:45,3",0.46356651186943054,23.531850814819336,2.073655843734741,24.178810119628906,88.61499786376953
"12:19:09:45,4",3.4361467361450195,23.511438369750977,1.701422095298767,27.026899337768555,91.3731460571289
"12:19:09:45,5",5.348029136657715,23.463815689086914,1.394452452659607,36.66250228881836,92.68997955322266
"12:19:09:45,6",6.242884159088135,23.311975479125977,-0.9634569883346558,242.09498596191406,92.92182159423828
"12:19:09:45,7",6.9604949951171875,23.314241409301758,-2.9893977642059326,417.5575256347656,92.4170913696289
"12:19:09:45,8",7.5122246742248535,23.330095291137695,11.467265129089355,456.4463195800781,90.87602233886719
"12:19:09:45,9",8.041118621826172,23.375417709350586,20.3923397064209,258.5654602050781,88.83956909179688
"12:19:09:45,0",8.43160629272461,23.40034294128418,17.32570457458496,141.9840850830078,86.35770416259766
"12:19:09:45,1",8.752485275268555,23.40034294128418,14.620537757873535,107.0723648071289,83.9150390625
"12:19:09:45,2",9.067734718322754,23.418474197387695,12.096153259277344,97.26275634765625,84.85009002685547
"12:19:09:45,3",9.731036186218262,23.423011779785156,10.09493637084961,92.4172134399414,87.25821685791016
"12:19:09:45,4",13.394684791564941,23.389009475708008,8.271499633789062,94.52533721923828,83.72526550292969
"12:19:09:45,5",16.448894500732422,23.173856735229492,5.871796131134033,274.8048400878906,80.262939453125
"12:19:09:45,6",17.34676742553711,23.03809928894043,3.1131231784820557,616.0521850585938,76.18862915039062
"12:19:09:45,7",17.23633575439453,23.065242767333984,19.800363540649414,830.9491577148438,72.74372863769531
"12:19:09:45,8",17.02225112915039,23.13311767578125,9.981962203979492,697.1761474609375,69.67231750488281
"12:19:09:45,9",16.763803482055664,23.19875144958496,34.73733901977539,416.5484313964844,66.32697296142578
"12:19:09:45,0",16.53468132019043,23.266677856445312,36.29902648925781,199.49560546875,63.84364700317383
"12:19:09:45,1",16.315563201904297,23.30065155029297,30.589216232299805,117.15465545654297,69.10858917236328
"12:19:09:45,2",16.086681365966797,23.323305130004883,24.935747146606445,94.0035629272461,66.8778076171875
"12:19:09:45,3",15.894281387329102,23.1059627532959,18.341697692871094,288.59075927734375,63.56085968017578
"12:19:09:45,4",15.711799621582031,22.93409538269043,18.98809814453125,648.8551025390625,60.01335525512695
"12:19:09:45,5",15.516551971435547,22.870819091796875,33.43989562988281,941.036865234375,56.71955490112305
"12:19:09:45,6",15.327042579650879,22.96122169494629,34.496192932128906,865.7420043945312,52.8466911315918
"12:19:09:45,7",15.16081428527832,23.04036521911621,11.708666801452637,650.3336181640625,49.128578186035156
"12:19:09:45,8",14.998680114746094,23.110488891601562,34.94500732421875,340.5326232910156,44.97065734863281
"12:19:09:45,9",14.840605735778809,23.092391967773438,32.32071304321289,163.80873107910156,41.31783676147461
"12:19:09:45,0",14.669567108154297,22.96800422668457,26.52716636657715,181.04385375976562,38.00452423095703
"12:19:09:45,1",14.519372940063477,22.852741241455078,16.76563262939453,413.7530822753906,35.54907989501953
"12:19:09:45,2",14.356252670288086,22.766908645629883,23.61676025390625,696.8927001953125,33.802371978759766
"12:19:09:45,3",14.212568283081055,22.710458755493164,33.377410888671875,940.2076416015625,32.279170989990234
"12:19:09:45,4",14.05600357055664,22.654029846191406,35.477294921875,1026.480224609375,30.902029037475586
"12:19:09:45,5",13.917648315429688,22.617923736572266,37.84645462036133,1044.1751708984375,29.067468643188477
"12:19:09:45,6",13.781521797180176,22.595359802246094,40.095218658447266,1044.13623046875,27.863311767578125
"12:19:09:45,7",13.632877349853516,22.566030502319336,41.828529357910156,1039.38623046875,27.119232177734375
"12:19:09:45,8",13.501276016235352,22.543472290039062,41.94627380371094,1034.8358154296875,26.297639846801758
"12:19:09:45,9",13.37157154083252,22.527685165405273,41.86441421508789,1030.201904296875,25.387248992919922
"12:19:09:46,0",13.229783058166504,22.51189422607422,41.35136795043945,1025.67724609375,24.61800193786621
"12:19:09:46,1",13.104137420654297,22.489343643188477,40.950653076171875,1022.1450805664062,24.00416374206543
"12:19:09:46,2",12.96644401550293,22.487089157104492,42.73625946044922,1018.8316650390625,23.425952911376953
"12:19:09:46,3",12.84327507019043,22.45777702331543,43.839317321777344,1016.4415283203125,22.905012130737305
"12:19:09:46,4",12.71865177154541,22.455524444580078,44.61357116699219,1014.207275390625,22.322559356689453
"12:19:09:46,5",12.579960823059082,22.448760986328125,45.25708770751953,1012.000244140625,21.747299194335938
"12:19:09:46,6",12.459455490112305,22.426218032836914,45.73618698120117,1010.3203125,21.408926010131836
"12:19:09:46,7",12.344891548156738,22.42396354675293,46.132957458496094,1008.9013671875,21.007516860961914
"12:19:09:46,8",12.205192565917969,22.40818214416504,46.425750732421875,1007.6253051757812,20.5854549407959
"12:19:09:46,9",12.060696601867676,22.399166107177734,46.646484375,1006.4391479492188,20.178747177124023
"12:19:09:46,0",11.898577690124512,22.39466094970703,46.80137634277344,1005.591064453125,19.796812057495117
"12:19:09:46,1",11.88014030456543,22.383392333984375,46.9312858581543,1004.5618896484375,19.265621185302734
"12:19:09:46,2",12.238670349121094,22.378881454467773,47.04045486450195,1003.83544921875,18.97220802307129
"12:19:09:46,3",12.905166625976562,22.36310577392578,47.174415588378906,1003.2637939453125,18.72210121154785
"12:19:09:46,4",13.416491508483887,22.35634422302246,47.31815719604492,1002.7274169921875,18.497264862060547
"12:19:09:46,5",13.951865196228027,22.3653621673584,47.41965103149414,1002.15234375,18.301345825195312
"12:19:09:46,6",14.42776870727539,22.36085319519043,47.51371383666992,1001.744384765625,18.14874839782715
"12:19:09:46,7",15.220858573913574,22.34282875061035,47.626277923583984,1001.5861206054688,18.001222610473633
"12:19:09:46,8",15.716229438781738,22.347332000732422,47.720298767089844,1001.2626342773438,17.86259651184082
"12:19:09:46,9",16.134748458862305,22.322547912597656,47.80318069458008,1001.1149291992188,17.742746353149414
"12:19:09:46,0",16.51957130432129,22.320297241210938,47.8630485534668,1000.7298583984375,17.63150405883789
"12:19:09:46,1",16.817604064941406,22.318042755126953,47.92726135253906,1000.4837646484375,17.51677894592285
"12:19:09:46,2",17.13737678527832,22.31353759765625,48.00884246826172,1000.4943237304688,17.405284881591797
"12:19:09:46,3",17.430500030517578,22.304521560668945,48.077674865722656,1000.137451171875,17.30426025390625
"12:19:09:46,4",17.665157318115234,22.306777954101562,48.129486083984375,1000.1163330078125,17.193960189819336
"12:19:09:46,5",17.930614471435547,22.304521560668945,48.16604232788086,999.96337890625,17.103849411010742
"12:19:09:46,6",18.225265502929688,22.29551124572754,48.20067596435547,999.87548828125,17.037906646728516
